No,ID,Kategori,Model,Prompt / Pertanyaan,Expected Output,Actual Intent (Sistem),Actual Extracted Ingredient,Actual Reply (Model),Score (1-4),Catatan Evaluator
1,P01,1. Greetings and Onboarding,xiaomi/mimo-v2-flash,"halo, ini bot apa ya?","Bot merespons dengan bahasa Indonesia yang ramah, menjelaskan fungsinya sebagai konsultan edukasi keamanan TCM (FitMate), dan menyebutkan cara penggunaannya.",general_tcm_chat,,"Halo! Bukan bot kaku, ini FitMate — asisten TCM yang ramah dan bisa diakses langsung lewat WhatsApp. Aku siap bantu cek keamanan herbal atau info bahan TCM sesuai kondisi kamu. Ada yang mau ditanyakan?",,
2,P02,1. Greetings and Onboarding,xiaomi/mimo-v2-flash,cara pakainya gimana nih habis scan?,Bot memberikan instruksi singkat untuk mengetikkan nama bahan yang terdeteksi dari hasil pemindaian agar sistem dapat mengecek keamanannya.,general_tcm_chat,,"Setelah scan, kamu tinggal sebutkan nama bahan herbalnya ke aku, nanti aku cek keamanannya dari database TCM yang terpercaya. Kalau ada kondisi kesehatan tertentu, jangan lupa sebutkan juga ya biar aku bisa kasih info yang lebih sesuai.",,
3,P03,1. Greetings and Onboarding,xiaomi/mimo-v2-flash,ini dokter beneran yg bales?,"Bot secara eksplisit menyatakan bahwa ia adalah kecerdasan buatan, bukan dokter, dan informasinya tidak dapat menggantikan diagnosis medis profesional.",general_tcm_chat,,"Halo! Aku bukan dokter, tapi aku FitMate, asisten TCM yang ramah dan helpful. Aku bisa bantu cek keamanan bahan herbal atau jawab pertanyaan umum tentang TCM langsung lewat WhatsApp ini. Ada yang bisa aku bantu?",,
4,P04,2. Direct Ingredient Inquiry,xiaomi/mimo-v2-flash,fungsi pientze huang buat apa,"Bot memberikan informasi spesifik mengenai indikasi utama Pientze Huang berdasarkan basis data, tanpa melebih-lebihkan manfaatnya.",ingredient_info_inquiry,Pientze Huang,"Halo! Pientze Huang (atau Pien Tze Huang) adalah ramuan TCM yang sudah terkenal, terutama untuk membantu meredakan radang dan infeksi setelah operasi. Bahan ini sering digunakan untuk mendukung pemulihan pasca tindakan medis, seperti mengurangi bengkak atau nyeri. 

Dari data yang ada, Pientze Huang umumnya aman digunakan, dan tidak ada kontraindikasi khusus yang tercatat. Kalau kamu ingin tahu lebih detail tentang keamanan atau dosis yang tepat, aku bisa bantu cek informasinya lebih lanjut, ya!",,
5,P05,2. Direct Ingredient Inquiry,xiaomi/mimo-v2-flash,lo han guo itu apa sih,Bot menjelaskan bahwa Lo Han Guo adalah herbal (buah biksu) dan menyebutkan kegunaan umumnya seperti meredakan batuk atau melegakan tenggorokan.,ingredient_info_inquiry,lo han guo,"Lo Han Guo, atau yang dikenal sebagai buah biksu, adalah buah dari tanaman yang sering digunakan dalam pengobatan tradisional Tiongkok untuk meredakan tenggorokan dan batuk. Kamu bisa mengonsumsinya dalam bentuk teh, ekstrak, atau suplemen untuk meredakan gejala pernapasan yang mengganggu. Bahan ini umumnya aman untuk dikonsumsi, dan tidak ada data kontraindikasi khusus yang tercatat. Kalau kamu ingin tahu lebih lanjut tentang keamanannya untuk kondisi spesifik, saya bisa bantu cek keamanannya untukmu.",,
6,P06,2. Direct Ingredient Inquiry,xiaomi/mimo-v2-flash,Pientze Huang 功效,"Bot mendeteksi bahasa Mandarin dan merespons kegunaan Pientze Huang dalam bahasa Mandarin atau bahasa Indonesia, bergantung pada pengaturan sistem Anda.",ingredient_info_inquiry,Pientze Huang,"Pientze Huang (atau Pien Tze Huang) adalah ramuan TCM yang sudah terkenal sebagai obat herbal untuk meredakan radang dan infeksi, terutama setelah operasi. Bahan ini sering digunakan untuk membantu pemulihan pasca bedah dengan cara mengurangi pembengkakan dan nyeri. Secara umum, Pientze Huang dianggap aman untuk dikonsumsi, tapi tentu saja setiap orang bisa bereaksi berbeda. Kalau kamu mau tahu lebih detail tentang keamanannya untuk kondisi spesifikmu, aku bisa bantu cek informasinya lebih lanjut.",,
7,P07,2. Direct Ingredient Inquiry,xiaomi/mimo-v2-flash,panax ginseng active compounds,Bot mendeteksi istilah bahasa Inggris dan menyebutkan senyawa aktif utamanya secara ilmiah.,ingredient_info_inquiry,Panax Ginseng,"Hai! Panax Ginseng, atau yang dikenal sebagai Ren Shen dalam bahasa Mandarin, adalah tonik kuat dalam TCM yang sering digunakan untuk meningkatkan energi dan vitalitas tubuh. Bahan ini sangat populer untuk membantu mengatasi kelelahan, memperkuat sistem kekebalan, dan mendukung kesehatan secara umum. Dari data keamanan yang ada, Panax Ginseng umumnya aman untuk dikonsumsi, tapi ingat untuk tidak mengonsumsinya secara berlebihan karena bisa menimbulkan efek samping. Kalau kamu mau tahu lebih detail tentang keamanannya untuk kondisi spesifikmu, bisa cek keamanannya bareng FitMate, ya!",,
8,P08,"3. Safety, Dosage, and Contraindications",xiaomi/mimo-v2-flash,darah tinggi boleh minum ginseng ga?,Bot memberikan peringatan bahwa ginseng dapat mempengaruhi tekanan darah dan menyarankan pengguna untuk berkonsultasi dengan dokter sebelum mengonsumsinya.,ingredient_safety_inquiry,ginseng,"⚕️ *Disclaimer:* Informasi ini bukan pengganti saran medis profesional.

Halo! Jadi, untuk kondisi darah tinggi (hipertensi), Panax Ginseng (人参) memang tergolong aman berdasarkan database kami, tapi penting banget buat kamu yang punya tekanan darah tinggi untuk konsultasi dulu ke dokter. Ginseng sendiri termasuk tonik kuat, jadi dosisnya perlu diperhatikan agar tidak berlebihan. Apakah kamu sedang minum obat darah tinggi juga?",,
9,P09,"3. Safety, Dosage, and Contraindications",xiaomi/mimo-v2-flash,dosis cordyceps sehari berapa,Bot menyebutkan rentang dosis umum yang direkomendasikan dalam basis data atau menyatakan bahwa dosis pasti harus dikonsultasikan dengan ahli medis.,ingredient_safety_inquiry,Cordyceps,"⚕️ *Disclaimer:* Informasi ini bukan pengganti saran medis profesional.

Halo! Dosis cordyceps yang umumnya disarankan adalah 1–3 gram per hari, tergantung bentuknya (kering, ekstrak, atau serbuk). Namun, dosis pasti bisa berbeda-beda tiap orang, terutama jika kamu punya kondisi kesehatan tertentu. Sebaiknya konsultasikan ke dokter atau praktisi TCM untuk dosis yang paling pas buat tubuhmu. 

Ada kondisi kesehatan yang sedang kamu perhatikan nggak?",,
10,P10,"3. Safety, Dosage, and Contraindications",xiaomi/mimo-v2-flash,dong quai buat bumil aman?,Bot mengeluarkan peringatan keras bahwa Dong Quai memiliki kontraindikasi untuk ibu hamil (karena memicu kontraksi rahim) dan sangat dilarang dikonsumsi tanpa pengawasan medis.,ingredient_safety_inquiry,dong quai,"⚕️ *Disclaimer:* Informasi ini bukan pengganti saran medis profesional.

Hai! Untuk ibu hamil, Dong Quai (当归) ini **tidak direkomendasikan** ya. Meskipun aman untuk umum dan bagus untuk haid, herbal ini punya efek yang bisa merangsang rahim dan memicu kontraksi, jadi berisiko untuk kehamilan. 

Kalau kamu sedang hamil atau menyusui, sebaiknya hindari dulu ya. Kondisi kehamilan itu spesial banget, jadi lebih baik konsultasi langsung ke dokter kandungan atau bidan sebelum pakai apa pun. 

Ada herbal lain yang lebih aman untuk bumil, mau tahu? 😊",,
